Name,World,DisplayName,LocationUU,Prompt,Behaviour,Secret,RepeatBehaviour,RequiresTwoPlayers
crystal_shatter__The_Frozen_Explorer,crystal_shatter,The Frozen Explorer,-2600.0|1800.0|150.0,Free,An NPC caught mid-step. Freeing them is not obviously a good idea.,,,false
crystal_shatter__Echo_Cavern,crystal_shatter,Echo Cavern,3000.0|-2000.0|100.0,Shout,Repeats everything said in it for the next player who enters.,,,true
crystal_shatter__Shard_Vein,crystal_shatter,Shard Vein,-3400.0|-2400.0|200.0,Mine,The reality's Shard currency source (Part II 38).,,,false
crystal_shatter__The_Unbroken_Pane,crystal_shatter,The Unbroken Pane,0.0|-3800.0|600.0,Look through,Shows the Portal Hub from the inside of P1. Someone is standing there.,,,false
portal_glade__The_Standing_Portals,portal_glade,The Standing Portals,0.0|-1800.0|160.0,Enter,Six frames with nothing holding them up. Each one is lit a different colour.,,,false
portal_glade__The_Campfire,portal_glade,The Campfire,0.0|-0.0|40.0,Sit,The community panel's fire. Players sitting here hear each other clearly regardless of proximity falloff — the one place voice does not fade.,,,true
portal_glade__The_Unlit_Frame,portal_glade,The Unlit Frame,-900.0|1560.0|160.0,Examine,"A seventh frame, dark.",Lights only when six different players have used the other six today.,,false
portal_glade__Trail_Markers,portal_glade,Trail Markers,1200.0|800.0|80.0,Read,Stones stacked by players. Each stack names a reality and a warning.,,,true
portal_glade__The_Old_Bench,portal_glade,The Old Bench,-1400.0|-600.0|50.0,Sit,Facing the portals. Worn smooth in two places.,,,false
portal_glade__Moss_Clock,portal_glade,Moss Clock,800.0|-1400.0|100.0,Read,Tells the time in whichever reality you last visited.,,,false
portal_glade__The_Returning_Path,portal_glade,The Returning Path,0.0|3000.0|20.0,Walk,Leads back to your trailer on foot. Takes four minutes. Worth doing once.,,,false
portal_glade__Lantern_Tree,portal_glade,Lantern Tree,1800.0|-1800.0|400.0,Light,Hang a lantern to leave a message for whoever arrives next.,,,true
portal_glade__The_Listening_Stone,portal_glade,The Listening Stone,-2000.0|2000.0|90.0,Touch,Plays back the last thing said in this glade.,,Occasionally plays something said here a very long time ago.,false
the_cascades__The_Terrace,the_cascades,The Terrace,0.0|-0.0|200.0,Rest,"Parasols, tables, a view over the falls. Players idle here between runs.",,,true
the_cascades__Waterfall_Curtain,the_cascades,Waterfall Curtain,5200.0|-3000.0|600.0,Walk through,There is a room behind it. There is a room behind three of the four.,,,false
the_cascades__The_Ascending_Stones,the_cascades,The Ascending Stones,-1800.0|-2200.0|400.0,Climb,Stepping stones up to the floating islands. They sink if you hesitate.,,,false
the_cascades__Mist_Ruin,the_cascades,Mist Ruin,-4000.0|1800.0|300.0,Explore,A building the mist keeps hiding. Its floor plan is not consistent.,,,false
the_cascades__The_Parasol_That_Is_Not_One,the_cascades,The Parasol That Is Not One,600.0|-400.0|260.0,Open,Opens into a chute down to a lower valley.,,,false
the_cascades__Secret_Portal,the_cascades,Secret Portal,3400.0|4400.0|200.0,Enter,A portal in a world that is not a hub. Leads to one random reality.,It remembers where it sent you and never repeats until it has sent you everywhere.,,false
the_cascades__The_Island_Bell,the_cascades,The Island Bell,1000.0|-4600.0|4200.0,Ring,Rings across the whole valley. Every player hears it and knows roughly where.,,,false
the_cascades__Field_Notes,the_cascades,Field Notes,-800.0|3400.0|100.0,Read,Someone catalogued this place. Their last entry is unfinished.,,,true
the_cascades__The_Long_Rope_Bridge,the_cascades,The Long Rope Bridge,2400.0|-1400.0|3000.0,Cross,Two players' weight makes it stable. One player's makes it swing.,,,true
the_cascades__Creature_Nest,the_cascades,Creature Nest,-5200.0|-4000.0|800.0,Approach,Not hostile. Curious. Follows you for a while and then does not.,,,false
the_cascades__The_Overlook,the_cascades,The Overlook,0.0|-6200.0|2600.0,Stand,The postcard shot. Emote here and it is worth extra reputation.,,,false
the_bazaar__The_Trade_Ring,the_bazaar,The Trade Ring,0.0|-0.0|100.0,Trade,"The bartering floor. Two-sided offers, both confirm (Part II 39).",,,true
the_bazaar__Appraiser_s_Stall,the_bazaar,Appraiser's Stall,-800.0|1200.0|140.0,Appraise,Tells you what an artifact is actually worth. Charges for the opinion.,,,false
the_bazaar__The_Fence,the_bazaar,The Fence,800.0|-1200.0|140.0,Sell,"Buys anything, asks nothing, pays badly.",,,false
the_bazaar__Currency_Exchange,the_bazaar,Currency Exchange,-800.0|-2000.0|140.0,Exchange,"Credits, Shards and Tokens (Part II 38). Rates move with player activity.",,,false
the_bazaar__Furniture_Row,the_bazaar,Furniture Row,800.0|2800.0|140.0,Browse,Trailer decor. The healthiest thing in the shop.,,,false
the_bazaar__The_Auction_Board,the_bazaar,The Auction Board,0.0|-3000.0|220.0,Bid,Player-listed rare items on a timer.,,,true
the_bazaar__Weapon_Tinker,the_bazaar,Weapon Tinker,-800.0|-3600.0|140.0,Upgrade,Applies upgrade paths to weapons you already own (Part II 37).,,,false
the_bazaar__Potion_Row,the_bazaar,Potion Row,800.0|-4400.0|140.0,Buy,"All five potions, marked up. Cheaper to brew them yourself.",,,false
the_bazaar__The_Empty_Stall,the_bazaar,The Empty Stall,-800.0|-5200.0|140.0,Claim,Any player can claim it for an hour and sell their own finds from it.,,,true
the_bazaar__Rumour_Table,the_bazaar,Rumour Table,0.0|5000.0|100.0,Listen,NPCs repeat things players have actually done in other realities.,,,true
the_bazaar__The_Locked_Case,the_bazaar,The Locked Case,1200.0|-6000.0|120.0,Examine,Contains something nobody in the market will name.,Opens to whoever brings the Eye of Reality here. Do not sell it.,,false
the_bazaar__Lantern_Line,the_bazaar,Lantern Line,0.0|-6800.0|500.0,Light,Lighting the whole street opens the night market.,,,false
